"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","127.4","12.5"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","98.8","0.8"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","146","5.0"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED, PART OF CROP - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","45.3","5.5"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","29.6","1.5"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","37.5","4.1"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","73.7","1.7"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","65.8","1.3"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","82.1","(L)"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","60.7","(L)"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, WINTER, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","73.7","1.7"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, WINTER, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","65.8","1.3"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, WINTER, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","82.1","(L)"
"CENSUS","2018","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","194","7.7"
"CENSUS","2018","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","194","7.7"
"CENSUS","2018","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","45","6.3"
"CENSUS","2018","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","SOYBEANS","SOYBEANS, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","45","6.3"
"CENSUS","2018","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","IRRIGATION METHOD, PRIMARY","IRRIGATION METHOD, PRIMARY: (PRESSURE)","54","25.5"
"CENSUS","2018","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, IRRIGATED - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","54","25.5"
"CENSUS","2017","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","164.5","2.6"
"CENSUS","2017","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","151.7","2.8"
"CENSUS","2017","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN, IRRIGATED, PART OF CROP - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","171.2","1.7"
"CENSUS","2017","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, SILAGE, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","20.2","19.4"
