# Title: February 2009 - January 2010 New Jersey County Precipitation
# Units: Inches
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
NJ-001,Atlantic County,New Jersey,60.34,127,16.59,43.75
NJ-003,Bergen County,New Jersey,48.33,83,1.82,46.51
NJ-005,Burlington County,New Jersey,54.99,124,10.86,44.13
NJ-007,Camden County,New Jersey,53.96,122,10.21,43.75
NJ-009,Cape May County,New Jersey,59.1,128,16.31,42.79
NJ-011,Cumberland County,New Jersey,55.89,126,13.06,42.83
NJ-013,Essex County,New Jersey,49.22,79,1.79,47.43
NJ-015,Gloucester County,New Jersey,54.77,125,11.25,43.52
NJ-017,Hudson County,New Jersey,48.04,88,2.76,45.28
NJ-019,Hunterdon County,New Jersey,51.7,99,5.72,45.98
NJ-021,Mercer County,New Jersey,52.71,114,8.06,44.65
NJ-023,Middlesex County,New Jersey,49.7,93,4.38,45.32
NJ-025,Monmouth County,New Jersey,49.42,96,4.46,44.96
NJ-027,Morris County,New Jersey,49.96,79,1.4,48.56
NJ-029,Ocean County,New Jersey,59.11,129,14.69,44.42
NJ-031,Passaic County,New Jersey,47.86,73,0.32,47.54
NJ-033,Salem County,New Jersey,52.98,120,10.35,42.63
NJ-035,Somerset County,New Jersey,51.39,99,4.89,46.5
NJ-037,Sussex County,New Jersey,46.74,80,1.58,45.16
NJ-039,Union County,New Jersey,48.81,80,2.27,46.54
NJ-041,Warren County,New Jersey,47.69,73,1.61,46.08
