# Title: February 2010 - January 2011 New Jersey County Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
NJ-001,Atlantic County,New Jersey,55.5,116,2.8,52.7
NJ-003,Bergen County,New Jersey,54.2,121,3.2,51
NJ-005,Burlington County,New Jersey,55.5,115,2.6,52.9
NJ-007,Camden County,New Jersey,55.8,114,2.5,53.3
NJ-009,Cape May County,New Jersey,55.8,115,2.6,53.1
NJ-011,Cumberland County,New Jersey,55.7,115,2.7,53.1
NJ-013,Essex County,New Jersey,54.5,120,3.2,51.3
NJ-015,Gloucester County,New Jersey,56.1,116,2.6,53.5
NJ-017,Hudson County,New Jersey,56,121,3.3,52.7
NJ-019,Hunterdon County,New Jersey,52.8,119,3.3,49.6
NJ-021,Mercer County,New Jersey,55.1,121,3.3,51.8
NJ-023,Middlesex County,New Jersey,55.1,119,3.2,51.9
NJ-025,Monmouth County,New Jersey,55.1,118,3.1,52
NJ-027,Morris County,New Jersey,52,119,3,48.9
NJ-029,Ocean County,New Jersey,55,116,2.8,52.3
NJ-031,Passaic County,New Jersey,52.2,119,3.1,49.1
NJ-033,Salem County,New Jersey,56.1,115,2.5,53.6
NJ-035,Somerset County,New Jersey,53.9,119,3.2,50.7
NJ-037,Sussex County,New Jersey,50.6,120,2.9,47.6
NJ-039,Union County,New Jersey,55,119,3.2,51.8
NJ-041,Warren County,New Jersey,51.4,121,3.2,48.2
